threshold,tp,tn,fp,fn,sensitivity,specificity,ppv,npv,youden_j,meets_ps_target
0.01,149,167,50,0,1.0,0.7695852534562212,0.7487437185929648,1.0,0.7695852534562211,False
0.011,149,168,49,0,1.0,0.7741935483870968,0.7525252525252525,1.0,0.7741935483870968,False
0.012,149,169,48,0,1.0,0.7788018433179723,0.7563451776649747,1.0,0.7788018433179724,False
0.013000000000000001,149,169,48,0,1.0,0.7788018433179723,0.7563451776649747,1.0,0.7788018433179724,False
0.014,149,169,48,0,1.0,0.7788018433179723,0.7563451776649747,1.0,0.7788018433179724,False
0.015,149,169,48,0,1.0,0.7788018433179723,0.7563451776649747,1.0,0.7788018433179724,False
0.016,149,169,48,0,1.0,0.7788018433179723,0.7563451776649747,1.0,0.7788018433179724,False
0.017,149,173,44,0,1.0,0.7972350230414746,0.772020725388601,1.0,0.7972350230414746,False
0.018000000000000002,149,174,43,0,1.0,0.8018433179723502,0.7760416666666666,1.0,0.8018433179723501,False
0.019000000000000003,149,174,43,0,1.0,0.8018433179723502,0.7760416666666666,1.0,0.8018433179723501,False
0.02,149,175,42,0,1.0,0.8064516129032258,0.7801047120418848,1.0,0.8064516129032258,False
0.020999999999999998,149,175,42,0,1.0,0.8064516129032258,0.7801047120418848,1.0,0.8064516129032258,False
0.022,149,175,42,0,1.0,0.8064516129032258,0.7801047120418848,1.0,0.8064516129032258,False
0.023,149,175,42,0,1.0,0.8064516129032258,0.7801047120418848,1.0,0.8064516129032258,False
0.024,149,177,40,0,1.0,0.815668202764977,0.7883597883597884,1.0,0.8156682027649769,False
0.025,149,177,40,0,1.0,0.815668202764977,0.7883597883597884,1.0,0.8156682027649769,False
0.026000000000000002,149,177,40,0,1.0,0.815668202764977,0.7883597883597884,1.0,0.8156682027649769,False
0.027000000000000003,149,177,40,0,1.0,0.815668202764977,0.7883597883597884,1.0,0.8156682027649769,False
0.028000000000000004,149,177,40,0,1.0,0.815668202764977,0.7883597883597884,1.0,0.8156682027649769,False
0.028999999999999998,149,177,40,0,1.0,0.815668202764977,0.7883597883597884,1.0,0.8156682027649769,False
0.03,149,177,40,0,1.0,0.815668202764977,0.7883597883597884,1.0,0.8156682027649769,False
0.031,149,178,39,0,1.0,0.8202764976958525,0.7925531914893617,1.0,0.8202764976958525,False
0.032,149,178,39,0,1.0,0.8202764976958525,0.7925531914893617,1.0,0.8202764976958525,False
0.033,149,178,39,0,1.0,0.8202764976958525,0.7925531914893617,1.0,0.8202764976958525,False
0.034,149,179,38,0,1.0,0.8248847926267281,0.7967914438502673,1.0,0.8248847926267282,False
0.035,149,179,38,0,1.0,0.8248847926267281,0.7967914438502673,1.0,0.8248847926267282,False
0.036000000000000004,149,179,38,0,1.0,0.8248847926267281,0.7967914438502673,1.0,0.8248847926267282,False
0.037,149,181,36,0,1.0,0.8341013824884793,0.8054054054054054,1.0,0.8341013824884793,False
0.038,149,181,36,0,1.0,0.8341013824884793,0.8054054054054054,1.0,0.8341013824884793,False
0.039,149,181,36,0,1.0,0.8341013824884793,0.8054054054054054,1.0,0.8341013824884793,False
0.04,149,182,35,0,1.0,0.8387096774193549,0.8097826086956522,1.0,0.838709677419355,False
0.041,149,182,35,0,1.0,0.8387096774193549,0.8097826086956522,1.0,0.838709677419355,False
0.042,149,182,35,0,1.0,0.8387096774193549,0.8097826086956522,1.0,0.838709677419355,False
0.043000000000000003,149,182,35,0,1.0,0.8387096774193549,0.8097826086956522,1.0,0.838709677419355,False
0.044000000000000004,149,182,35,0,1.0,0.8387096774193549,0.8097826086956522,1.0,0.838709677419355,False
0.045000000000000005,149,182,35,0,1.0,0.8387096774193549,0.8097826086956522,1.0,0.838709677419355,False
0.046000000000000006,149,182,35,0,1.0,0.8387096774193549,0.8097826086956522,1.0,0.838709677419355,False
0.047,149,182,35,0,1.0,0.8387096774193549,0.8097826086956522,1.0,0.838709677419355,False
